번호,대분야,소분야,약칭,학회명,등급,비고
2020-S-001,AI,ML,AAAI,AAAI Conference on Artificial Intelligence,S,
2020-S-002,AI,NLP,ACL,Annual Meeting of the Association for Computational Linguistics,S,
2020-S-003,CS,SE,ASE,IEEE/ACM International Conference On Automated Software Engineering,S,
2020-S-004,CS,OS,ASPLOS,Architectural Support for Programming Languages and Operating Systems,S,
2020-S-005,CS,PL,CAV,International Conference on Computer-Aided Verification,S,
2020-S-006,CS,Sec,CCS,ACM Conference on Computer and Communications Security,S,
2020-S-007,CS,CGI,CHI,ACM Conference on Human Factors in Computing Systems,S,
2020-S-008,CS,DM,CIKM,ACM Conference on Information and Knowledge Management,S,
2020-S-009,CS,Net,CONEXT,ACM International Conference on Emerging Networking Experiments and Technologies,S,
2020-S-010,CS,Sec,CRYPTO,International Cryptology Conference,S,
2020-S-011,AI,CV,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,S,
2020-S-012,CS,Arch,DAC,Design Automation Conference,S,
2020-S-013,AI,CV,ECCV,European Conference on Computer Vision,S,
2020-S-014,AI,NLP,EMNLP,Conference on Empirical Methods in Natural Language Processing,S,
2020-S-015,CS,Sec,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques,S,
2020-S-016,CS,OS,EuroSys,European Conference on Computer Systems,S,
2020-S-017,CS,Alg,FOCS,IEEE Symposium on Foundations of Computer Science,S,
2020-S-018,CS,SE,FSE,ACM International Conference on the Foundations of Software Engineering,S,
2020-S-019,CS,Arch,HPCA,International Symposium on High-Performance Computer Architecture,S,
2020-S-020,CS,HPC,HPDC,International ACM Symposium on High Performance Distributed Computing,S,
2020-S-021,AI,CV,ICCV,IEEE/CVF International Conference on Computer Vision,S,
2020-S-022,CS,DB,ICDE,IEEE International Conference on Data Engineering,S,
2020-S-023,CS,DM,ICDM,IEEE International Conference on Data Mining,S,
2020-S-024,CS,PL,ICFP,ACM International Conference on Functional Programming,S,
2020-S-025,AI,ML,ICML,IEEE International Conference on Machine Learning,S,
2020-S-026,CS,SE,ICSE,IEEE/ACM International Conference on Software Engineering,S,
2020-S-027,CS,Net,INFOCOM,IEEE Conference on Computer Communications,S,
2020-S-028,CS,Arch,ISCA,ACM/IEEE International Symposium on Computer Architecture,S,
2020-S-029,CS,CGI,ISMAR,IEEE International Symposium on Mixed and Augmented Reality,S,
2020-S-030,AI,Bio,ISMB,Intelligent Systems for Molecular Biology,S,
2020-S-031,CS,SE,ISSTA,ACM SIGSOFT International Symposium on Software Testing and Analysis,S,
2020-S-032,CS,DM,KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,S,
2020-S-033,CS,PL,LICS,ACM/IEEE Symposium on Logic in Computer Science,S,
2020-S-034,CS,Arch,MICRO,IEEE/ACM International Symposium on Microarchitecture,S,
2020-S-035,CS,Net,MobiCom,ACM International Conference on Mobile Computing and Networking,S,
2020-S-036,CS,Net,MobiSys,"ACM International Conference on Mobile Systems, Applications, and Services",S,
2020-S-037,AI,NLP,NAACL,Conference of the North American Chapter of the Association for Computational Linguistics,S,
2020-S-038,CS,Sec,NDSS,ISOC Network & Distributed System Security Symposium,S,
2020-S-039,AI,ML,NeurIPS,Conference on Neural Information Processing Systems,S,
2020-S-040,CS,PL,OOPSLA,"ACM SIGPLAN International Conference on Object-Oriented Programming, Systems, Languages, and Applications",S,
2020-S-041,CS,OS,USENIX OSDI,USENIX Symposium on Operating Systems Design and Implementation,S,
2020-S-042,CS,Arch,PACT,International Conference on Parallel Architectures and Compilation Techniques,S,
2020-S-043,CS,PL,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,S,
2020-S-044,CS,DB,PODS,ACM SIGMOD-SIGACT-SIGART Symposium on Principles of Database Systems,S,
2020-S-045,CS,PL,POPL,ACM-SIGACT Symposium on Principles of Programming Languages,S,
2020-S-046,CS,HPC,PPoPP,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,S,
2020-S-047,CS,OS,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,S,
2020-S-048,CS,OS,RTSS,IEEE Real-Time Systems Symposium,S,
2020-S-049,CS,Sec,S&P,IEEE Symposium on Security and Privacy,S,
2020-S-050,CS,HPC,SC,"ACM/IEEE International Conference for High Performance Computing, Networking, Storage, and Analysis",S,
2020-S-051,CS,Net,SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",S,
2020-S-052,CS,CGI,SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,S,
2020-S-053,CS,CGI,SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,S,
2020-S-054,CS,DM,SIGIR,ACM International Conference on Research and Development in Information Retrieval,S,
2020-S-055,CS,OS,SIGMETRICS,ACM SIG on Computer and Communications Metrics and Performance,S,
2020-S-056,CS,DB,SIGMOD,ACM SIGMOD International Conference on Management of Data,S,
2020-S-057,CS,Alg,SOCG,Annual Symposium on Computational Geometry,S,
2020-S-058,CS,Alg,SODA,ACM/SIAM Symposium on Discrete Algorithms,S,
2020-S-059,CS,OS,SOSP,ACM SIGOPS Symposium on Operating Systems Principles,S,
2020-S-060,CS,Alg,STOC,ACM Symposium on Theory of Computing,S,
2020-S-061,CS,CGI,UIST,ACM Symposium on User Interface Software and Technology,S,
2020-S-062,CS,OS,USENIX ATC,USENIX Annual Technical Conference,S,
2020-S-063,CS,OS,USENIX FAST,USENIX Conference on File and Storage Technologies,S,
2020-S-064,CS,Net,USENIX NSDI,USENIX Symposium on Networked Systems Design and Implementation,S,
2020-S-065,CS,Sec,USENIX Security,USENIX Security Symposium,S,
2020-S-066,CS,CGI,VIS,IEEE Visualization Conference,S,
2020-S-067,CS,DB,VLDB,International Conference on Very Large DataBases,S,
2020-S-068,CS,CGI,VR,IEEE Virtual Reality Conference,S,
2020-S-069,CS,DM,WWW,World-Wide Web Conference,S,
2020-A-001,AI,ML,AAMAS,International Conference on Autonomous Agents and Multi-agent Systems,A,
2020-A-002,AI,CV,ACCV,Asian Conference on Computer Vision,A,
2020-A-003,CS,Sec,ACSAC,ACM Annual Computer Security Applications Conference,A,
2020-A-004,AI,ML,AISTATS,International Conference on Artificial Intelligence and Statistics,A,
2020-A-005,CS,Net,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,A,
2020-A-006,CS,Sec,ASIACCS,ACM Asia Conference on Computer and Communications Security,A,
2020-A-007,CS,Sec,ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,A,
2020-A-008,AI,Bio,BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",A,
2020-A-009,AI,Bio,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,A,
2020-A-010,CS,DB,BIGDATA,IEEE International Conference on BigData,A,
2020-A-011,AI,CV,BMVC,British Machine Vision Conference,A,
2020-A-012,CS,OS,CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",A,
